ligand_human_symbol,receptor_human_symbol,ligand_human_ensembl,receptor_human_ensembl,ligand_mouse_symbol,receptor_mouse_symbol,ligand_mouse_ensembl,receptor_mouse_ensembl,database,source
ADAM10,TSPAN5,ENSG00000137845,ENSG00000168785,Adam10,Tspan5,ENSMUSG00000054693,ENSMUSG00000028152,omnipath,omnipath
ADAM10,TSPAN15,ENSG00000137845,ENSG00000099282,Adam10,Tspan15,ENSMUSG00000054693,ENSMUSG00000037031,omnipath,omnipath
ADAM10,TSPAN10,ENSG00000137845,ENSG00000182612,Adam10,Tspan10,ENSMUSG00000054693,ENSMUSG00000039691,omnipath,omnipath
ADAM10,TSPAN14,ENSG00000137845,ENSG00000108219,Adam10,Tspan14,ENSMUSG00000054693,ENSMUSG00000037824,omnipath,omnipath
ADAM10,TSPAN17,ENSG00000137845,ENSG00000048140,Adam10,Tspan17,ENSMUSG00000054693,ENSMUSG00000025875,omnipath,omnipath
ADAM10,EPHA3,ENSG00000137845,ENSG00000044524,Adam10,Epha3,ENSMUSG00000054693,ENSMUSG00000052504,omnipath,omnipath
ADAM10,AXL,ENSG00000137845,ENSG00000167601,Adam10,Axl,ENSMUSG00000054693,ENSMUSG00000002602,omnipath,omnipath
ADAM10,NOTCH4,ENSG00000137845,ENSG00000238196,Adam10,NA,ENSMUSG00000054693,NA,omnipath,omnipath
ADAM11,ITGA4,ENSG00000073670,ENSG00000115232,Adam11,Itga4,ENSMUSG00000020926,ENSMUSG00000027009,omnipath,omnipath
ADAM11,CCR4,ENSG00000073670,ENSG00000183813,Adam11,Ccr4,ENSMUSG00000020926,ENSMUSG00000047898,omnipath,omnipath
ADAM12,SDC4,ENSG00000148848,ENSG00000124145,Adam12,Sdc4,ENSMUSG00000054555,ENSMUSG00000017009,omnipath,omnipath
ADAM12,ITGB1,ENSG00000148848,ENSG00000150093,Adam12,Itgb1,ENSMUSG00000054555,ENSMUSG00000025809,omnipath,omnipath
ADAM12,ITGA9,ENSG00000148848,ENSG00000144668,Adam12,Itga9,ENSMUSG00000054555,ENSMUSG00000039115,omnipath,omnipath
ADAM15,ITGA5,ENSG00000143537,ENSG00000161638,Adam15,Itga5,ENSMUSG00000028041,ENSMUSG00000000555,nichenet_verschueren,nichenet_verschueren
ADAM15,ITGA9,ENSG00000143537,ENSG00000144668,Adam15,Itga9,ENSMUSG00000028041,ENSMUSG00000039115,nichenet_verschueren,nichenet_verschueren
ADAM15,ITGB1,ENSG00000143537,ENSG00000150093,Adam15,Itgb1,ENSMUSG00000028041,ENSMUSG00000025809,nichenet_verschueren,nichenet_verschueren
ADAM15,ITGB3,ENSG00000143537,ENSG00000259207,Adam15,Itgb3,ENSMUSG00000028041,ENSMUSG00000020689,nichenet_verschueren,nichenet_verschueren
ADAM17,MUC1,ENSG00000151694,ENSG00000185499,Adam17,Muc1,ENSMUSG00000052593,ENSMUSG00000042784,omnipath,omnipath
ADAM17,NOTCH1,ENSG00000151694,ENSG00000148400,Adam17,Notch1,ENSMUSG00000052593,ENSMUSG00000026923,omnipath,omnipath
ADAM17,ITGB1,ENSG00000151694,ENSG00000150093,Adam17,Itgb1,ENSMUSG00000052593,ENSMUSG00000025809,omnipath,omnipath
ADAM17,IL6R,ENSG00000151694,ENSG00000160712,Adam17,Il6ra,ENSMUSG00000052593,ENSMUSG00000027947,omnipath,omnipath
ADAM17,ERBB4,ENSG00000151694,ENSG00000178568,Adam17,Erbb4,ENSMUSG00000052593,ENSMUSG00000062209,omnipath,omnipath
ADAM17,ITGA5,ENSG00000151694,ENSG00000161638,Adam17,Itga5,ENSMUSG00000052593,ENSMUSG00000000555,omnipath,omnipath
ADAM17,NOTCH4,ENSG00000151694,ENSG00000238196,Adam17,NA,ENSMUSG00000052593,NA,omnipath,omnipath
ADAM17,NOTCH3,ENSG00000151694,ENSG00000074181,Adam17,Notch3,ENSMUSG00000052593,ENSMUSG00000038146,omnipath,omnipath
ADAM17,NOTCH2,ENSG00000151694,ENSG00000134250,Adam17,Notch2,ENSMUSG00000052593,ENSMUSG00000027878,omnipath,omnipath
ADAM2,ITGB1,ENSG00000104755,ENSG00000150093,Adam2,Itgb1,ENSMUSG00000022039,ENSMUSG00000025809,omnipath,omnipath
ADAM2,CD9,ENSG00000104755,ENSG00000010278,Adam2,Cd9,ENSMUSG00000022039,ENSMUSG00000030342,omnipath,omnipath
ADAM2,ITGA6,ENSG00000104755,ENSG00000091409,Adam2,Itga6,ENSMUSG00000022039,ENSMUSG00000027111,omnipath,omnipath
ADAM2,ITGB7,ENSG00000104755,ENSG00000139626,Adam2,Itgb7,ENSMUSG00000022039,ENSMUSG00000001281,omnipath,omnipath
ADAM2,ITGA9,ENSG00000104755,ENSG00000144668,Adam2,Itga9,ENSMUSG00000022039,ENSMUSG00000039115,omnipath,omnipath
ADAM20,IL1RAPL2,ENSG00000134007,ENSG00000189108,Adam20,Il1rapl2,ENSMUSG00000046282,ENSMUSG00000059203,omnipath,omnipath
ADAM20,IL1RAPL1,ENSG00000134007,ENSG00000169306,Adam20,Il1rapl1,ENSMUSG00000046282,ENSMUSG00000052372,omnipath,omnipath
ADAM21,FLT4,ENSG00000139985,ENSG00000037280,Adam21,Flt4,ENSMUSG00000008438,ENSMUSG00000020357,nichenet_verschueren,nichenet_verschueren
ADAM21,CLEC12B,ENSG00000139985,ENSG00000256660,Adam21,Clec12b,ENSMUSG00000008438,ENSMUSG00000030158,omnipath,omnipath
ADAM21,IGSF21,ENSG00000139985,ENSG00000117154,Adam21,Igsf21,ENSMUSG00000008438,ENSMUSG00000040972,omnipath,omnipath
ADAM23,ITGA5,ENSG00000114948,ENSG00000161638,Adam23,Itga5,ENSMUSG00000025964,ENSMUSG00000000555,nichenet_verschueren,nichenet_verschueren
ADAM23,ITGB3,ENSG00000114948,ENSG00000259207,Adam23,Itgb3,ENSMUSG00000025964,ENSMUSG00000020689,nichenet_verschueren,nichenet_verschueren
ADAM28,ITGA4,ENSG00000042980,ENSG00000115232,Adam28,Itga4,ENSMUSG00000014725,ENSMUSG00000027009,omnipath,omnipath
ADAM29,ITGA4,ENSG00000168594,ENSG00000115232,Adam29,Itga4,ENSMUSG00000046258,ENSMUSG00000027009,omnipath,omnipath
ADAM7,ITGA4,ENSG00000069206,ENSG00000115232,Adam7,Itga4,ENSMUSG00000022056,ENSMUSG00000027009,omnipath,omnipath
ADAM7,ITGB7,ENSG00000069206,ENSG00000139626,Adam7,Itgb7,ENSMUSG00000022056,ENSMUSG00000001281,omnipath,omnipath
ADAM9,ITGA6,ENSG00000168615,ENSG00000091409,Adam9,Itga6,ENSMUSG00000031555,ENSMUSG00000027111,nichenet_verschueren,nichenet_verschueren
ADAM9,ITGAV,ENSG00000168615,ENSG00000138448,Adam9,Itgav,ENSMUSG00000031555,ENSMUSG00000027087,nichenet_verschueren,nichenet_verschueren
ADAM9,ITGB1,ENSG00000168615,ENSG00000150093,Adam9,Itgb1,ENSMUSG00000031555,ENSMUSG00000025809,nichenet_verschueren,nichenet_verschueren
ADAM9,ITGB5,ENSG00000168615,ENSG00000082781,Adam9,Itgb5,ENSMUSG00000031555,ENSMUSG00000022817,nichenet_verschueren,nichenet_verschueren
ADAMTS3,CCBE1,ENSG00000156140,ENSG00000183287,Adamts3,Ccbe1,ENSMUSG00000043635,ENSMUSG00000046318,omnipath,omnipath
ADCYAP1,ADCYAP1R1,ENSG00000141433,ENSG00000078549,Adcyap1,Adcyap1r1,ENSMUSG00000024256,ENSMUSG00000029778,omnipath,omnipath
ADCYAP1,VIPR1,ENSG00000141433,ENSG00000114812,Adcyap1,Vipr1,ENSMUSG00000024256,ENSMUSG00000032528,omnipath,omnipath
ADCYAP1,VIPR2,ENSG00000141433,ENSG00000106018,Adcyap1,Vipr2,ENSMUSG00000024256,ENSMUSG00000011171,omnipath,omnipath
ADCYAP1,SCTR,ENSG00000141433,ENSG00000080293,Adcyap1,Sctr,ENSMUSG00000024256,ENSMUSG00000026387,omnipath,omnipath
ADGRB1,RTN4R,ENSG00000181790,ENSG00000040608,Adgrb1,Rtn4r,ENSMUSG00000034730,ENSMUSG00000043811,omnipath,omnipath
ADGRE5,CD55,ENSG00000123146,ENSG00000196352,Adgre5,Cd55,ENSMUSG00000002885,ENSMUSG00000026399,omnipath,omnipath
ADGRF5,TREML2,ENSG00000069122,ENSG00000112195,Adgrf5,Treml2,ENSMUSG00000056492,ENSMUSG00000071068,nichenet_verschueren,nichenet_verschueren
ADIPOQ,ADIPOR1,ENSG00000181092,ENSG00000159346,Adipoq,Adipor1,ENSMUSG00000022878,ENSMUSG00000026457,omnipath,omnipath
ADIPOQ,ADIPOR2,ENSG00000181092,ENSG00000006831,Adipoq,Adipor2,ENSMUSG00000022878,ENSMUSG00000030168,omnipath,omnipath
ADIPOQ,GPR42,ENSG00000181092,ENSG00000126251,Adipoq,Ffar3,ENSMUSG00000022878,ENSMUSG00000019429,omnipath,omnipath
ADIPOQ,CNR2,ENSG00000181092,ENSG00000188822,Adipoq,Cnr2,ENSMUSG00000022878,ENSMUSG00000062585,omnipath,omnipath
ADM,MRGPRX3,ENSG00000148926,ENSG00000179826,Adm,Mrgprb2,ENSMUSG00000030790,ENSMUSG00000050425,nichenet_verschueren,nichenet_verschueren
ADM,MRGPRX4,ENSG00000148926,ENSG00000179817,Adm,Mrgprb2,ENSMUSG00000030790,ENSMUSG00000050425,nichenet_verschueren,nichenet_verschueren
ADM,CALCRL,ENSG00000148926,ENSG00000064989,Adm,Calcrl,ENSMUSG00000030790,ENSMUSG00000059588,omnipath,omnipath
ADM,RAMP2,ENSG00000148926,ENSG00000131477,Adm,Ramp2,ENSMUSG00000030790,ENSMUSG00000001240,omnipath,omnipath
ADM,RAMP3,ENSG00000148926,ENSG00000122679,Adm,Ramp3,ENSMUSG00000030790,ENSMUSG00000041046,omnipath,omnipath
ADM,CALCR,ENSG00000148926,ENSG00000004948,Adm,Calcr,ENSMUSG00000030790,ENSMUSG00000023964,omnipath,omnipath
ADM,RAMP1,ENSG00000148926,ENSG00000132329,Adm,Ramp1,ENSMUSG00000030790,ENSMUSG00000034353,omnipath,omnipath
ADM,MRGPRX2,ENSG00000148926,ENSG00000183695,Adm,Mrgprb2,ENSMUSG00000030790,ENSMUSG00000050425,omnipath,omnipath
ADM,GPR182,ENSG00000148926,ENSG00000166856,Adm,Gpr182,ENSMUSG00000030790,ENSMUSG00000058396,omnipath,omnipath
ADM2,CALCRL,ENSG00000128165,ENSG00000064989,Adm2,Calcrl,ENSMUSG00000054136,ENSMUSG00000059588,omnipath,omnipath
ADM2,RAMP2,ENSG00000128165,ENSG00000131477,Adm2,Ramp2,ENSMUSG00000054136,ENSMUSG00000001240,omnipath,omnipath
ADM2,RAMP3,ENSG00000128165,ENSG00000122679,Adm2,Ramp3,ENSMUSG00000054136,ENSMUSG00000041046,omnipath,omnipath
ADM2,CALCR,ENSG00000128165,ENSG00000004948,Adm2,Calcr,ENSMUSG00000054136,ENSMUSG00000023964,omnipath,omnipath
ADM2,RAMP1,ENSG00000128165,ENSG00000132329,Adm2,Ramp1,ENSMUSG00000054136,ENSMUSG00000034353,omnipath,omnipath
ADM2,ADCYAP1R1,ENSG00000128165,ENSG00000078549,Adm2,Adcyap1r1,ENSMUSG00000054136,ENSMUSG00000029778,omnipath,omnipath
ADM2,TSHR,ENSG00000128165,ENSG00000165409,Adm2,Tshr,ENSMUSG00000054136,ENSMUSG00000020963,omnipath,omnipath
ADM2,GPR84,ENSG00000128165,ENSG00000139572,Adm2,NA,ENSMUSG00000054136,NA,omnipath,omnipath
ADM2,ADRB2,ENSG00000128165,ENSG00000169252,Adm2,Adrb2,ENSMUSG00000054136,ENSMUSG00000045730,omnipath,omnipath
ADM2,PTH1R,ENSG00000128165,ENSG00000160801,Adm2,Pth1r,ENSMUSG00000054136,ENSMUSG00000032492,omnipath,omnipath
ADM2,VIPR1,ENSG00000128165,ENSG00000114812,Adm2,Vipr1,ENSMUSG00000054136,ENSMUSG00000032528,omnipath,omnipath
ADM2,ADRB3,ENSG00000128165,ENSG00000188778,Adm2,Adrb3,ENSMUSG00000054136,ENSMUSG00000031489,omnipath,omnipath
ADM2,GPR20,ENSG00000128165,ENSG00000204882,Adm2,Gpr20,ENSMUSG00000054136,ENSMUSG00000045281,omnipath,omnipath
AGRN,MUSK,ENSG00000188157,ENSG00000030304,Agrn,Musk,ENSMUSG00000041936,ENSMUSG00000057280,omnipath,omnipath
AGRN,CHRNB3,ENSG00000188157,ENSG00000147432,Agrn,Chrnb3,ENSMUSG00000041936,ENSMUSG00000031492,omnipath,omnipath
AGRN,ITGB1,ENSG00000188157,ENSG00000150093,Agrn,Itgb1,ENSMUSG00000041936,ENSMUSG00000025809,omnipath,omnipath
AGRN,ATP1A3,ENSG00000188157,ENSG00000105409,Agrn,Atp1a3,ENSMUSG00000041936,ENSMUSG00000040907,omnipath,omnipath
AGRN,LRP1,ENSG00000188157,ENSG00000123384,Agrn,Lrp1,ENSMUSG00000041936,ENSMUSG00000040249,omnipath,omnipath
AGRN,LRP2,ENSG00000188157,ENSG00000081479,Agrn,Lrp2,ENSMUSG00000041936,ENSMUSG00000027070,omnipath,omnipath
AGRN,LRP4,ENSG00000188157,ENSG00000134569,Agrn,Lrp4,ENSMUSG00000041936,ENSMUSG00000027253,omnipath,omnipath
AGRN,DAG1,ENSG00000188157,ENSG00000173402,Agrn,Dag1,ENSMUSG00000041936,ENSMUSG00000039952,omnipath,omnipath
AGRP,MC3R,ENSG00000159723,ENSG00000124089,Agrp,Mc3r,ENSMUSG00000005705,ENSMUSG00000038537,omnipath,omnipath
AGRP,MC4R,ENSG00000159723,ENSG00000166603,Agrp,Mc4r,ENSMUSG00000005705,ENSMUSG00000047259,omnipath,omnipath
AGRP,MC5R,ENSG00000159723,ENSG00000176136,Agrp,Mc5r,ENSMUSG00000005705,ENSMUSG00000007480,omnipath,omnipath
AGRP,SDC3,ENSG00000159723,ENSG00000162512,Agrp,Sdc3,ENSMUSG00000005705,ENSMUSG00000025743,omnipath,omnipath
AGT,AGTR1,ENSG00000135744,ENSG00000144891,Agt,Agtr1a,ENSMUSG00000031980,ENSMUSG00000049115,omnipath,omnipath
AGT,AGTR2,ENSG00000135744,ENSG00000180772,Agt,Agtr2,ENSMUSG00000031980,ENSMUSG00000068122,omnipath,omnipath
AGT,REN,ENSG00000135744,ENSG00000143839,Agt,Ren1,ENSMUSG00000031980,ENSMUSG00000070645,omnipath,omnipath
AGT,MAS1,ENSG00000135744,ENSG00000130368,Agt,Mas1,ENSMUSG00000031980,ENSMUSG00000068037,omnipath,omnipath
AGT,LRP2,ENSG00000135744,ENSG00000081479,Agt,Lrp2,ENSMUSG00000031980,ENSMUSG00000027070,omnipath,omnipath
AHSG,INSR,ENSG00000145192,ENSG00000171105,Ahsg,Insr,ENSMUSG00000022868,ENSMUSG00000005534,omnipath,omnipath
AIMP1,NTRK1,ENSG00000164022,ENSG00000198400,Aimp1,Ntrk1,ENSMUSG00000028029,ENSMUSG00000028072,omnipath,omnipath
ALB,LRP2,ENSG00000163631,ENSG00000081479,Alb,Lrp2,ENSMUSG00000029368,ENSMUSG00000027070,omnipath,omnipath
ALCAM,ALCAM,ENSG00000170017,ENSG00000170017,Alcam,Alcam,ENSMUSG00000022636,ENSMUSG00000022636,nichenet_verschueren,nichenet_verschueren
ALCAM,CD6,ENSG00000170017,ENSG00000013725,Alcam,Cd6,ENSMUSG00000022636,ENSMUSG00000024670,omnipath,omnipath
ALCAM,CHL1,ENSG00000170017,ENSG00000134121,Alcam,Chl1,ENSMUSG00000022636,ENSMUSG00000030077,omnipath,omnipath
ALCAM,NRP1,ENSG00000170017,ENSG00000099250,Alcam,Nrp1,ENSMUSG00000022636,ENSMUSG00000025810,omnipath,omnipath
ALKAL1,ALK,ENSG00000196711,ENSG00000171094,Alkal1,Alk,ENSMUSG00000087247,ENSMUSG00000055471,omnipath,omnipath
ALKAL1,LTK,ENSG00000196711,ENSG00000062524,Alkal1,Ltk,ENSMUSG00000087247,ENSMUSG00000027297,omnipath,omnipath
ALKAL2,ALK,ENSG00000189292,ENSG00000171094,Alkal2,Alk,ENSMUSG00000054204,ENSMUSG00000055471,omnipath,omnipath
ALKAL2,LTK,ENSG00000189292,ENSG00000062524,Alkal2,Ltk,ENSMUSG00000054204,ENSMUSG00000027297,omnipath,omnipath
ALOX5AP,ALOX5,ENSG00000132965,ENSG00000012779,Alox5ap,Alox5,ENSMUSG00000060063,ENSMUSG00000025701,nichenet_verschueren,nichenet_verschueren
AMBN,CD63,ENSG00000178522,ENSG00000135404,Ambn,Cd63,ENSMUSG00000029288,ENSMUSG00000025351,omnipath,omnipath
AMELX,LAMP1,ENSG00000125363,ENSG00000185896,Amelx,Lamp1,ENSMUSG00000031354,ENSMUSG00000031447,omnipath,omnipath
AMELX,CD63,ENSG00000125363,ENSG00000135404,Amelx,Cd63,ENSMUSG00000031354,ENSMUSG00000025351,omnipath,omnipath
AMELX,LAMP2,ENSG00000125363,ENSG00000005893,Amelx,Lamp2,ENSMUSG00000031354,ENSMUSG00000016534,omnipath,omnipath
AMELY,CD63,ENSG00000099721,ENSG00000135404,NA,Cd63,NA,ENSMUSG00000025351,omnipath,omnipath
AMELY,LAMP1,ENSG00000099721,ENSG00000185896,NA,Lamp1,NA,ENSMUSG00000031447,omnipath,omnipath
AMELY,LAMP2,ENSG00000099721,ENSG00000005893,NA,Lamp2,NA,ENSMUSG00000016534,omnipath,omnipath
AMH,AMHR2,ENSG00000104899,ENSG00000135409,Amh,Amhr2,ENSMUSG00000035262,ENSMUSG00000023047,omnipath,omnipath
AMH,ACVR1,ENSG00000104899,ENSG00000115170,Amh,Acvr1,ENSMUSG00000035262,ENSMUSG00000026836,omnipath,omnipath
AMH,EGFR,ENSG00000104899,ENSG00000146648,Amh,Egfr,ENSMUSG00000035262,ENSMUSG00000020122,omnipath,omnipath
AMH,GREM2,ENSG00000104899,ENSG00000180875,Amh,Grem2,ENSMUSG00000035262,ENSMUSG00000050069,omnipath,omnipath
AMH,BMPR1A,ENSG00000104899,ENSG00000107779,Amh,Bmpr1a,ENSMUSG00000035262,ENSMUSG00000021796,omnipath,omnipath
AMH,BMPR1B,ENSG00000104899,ENSG00000138696,Amh,Bmpr1b,ENSMUSG00000035262,ENSMUSG00000052430,omnipath,omnipath
ANG,EGFR,ENSG00000214274,ENSG00000146648,Ang2,Egfr,ENSMUSG00000047894,ENSMUSG00000020122,omnipath,omnipath
ANG,PLXNB2,ENSG00000214274,ENSG00000196576,Ang2,Plxnb2,ENSMUSG00000047894,ENSMUSG00000036606,omnipath,omnipath
ANGPT1,TEK,ENSG00000154188,ENSG00000120156,Angpt1,Tek,ENSMUSG00000022309,ENSMUSG00000006386,omnipath,omnipath
ANGPT1,TIE1,ENSG00000154188,ENSG00000066056,Angpt1,Tie1,ENSMUSG00000022309,ENSMUSG00000033191,omnipath,omnipath
ANGPT1,ITGA5,ENSG00000154188,ENSG00000161638,Angpt1,Itga5,ENSMUSG00000022309,ENSMUSG00000000555,omnipath,omnipath
ANGPT1,ITGB1,ENSG00000154188,ENSG00000150093,Angpt1,Itgb1,ENSMUSG00000022309,ENSMUSG00000025809,omnipath,omnipath
ANGPT2,TEK,ENSG00000091879,ENSG00000120156,Angpt2,Tek,ENSMUSG00000031465,ENSMUSG00000006386,omnipath,omnipath
ANGPT2,TIE1,ENSG00000091879,ENSG00000066056,Angpt2,Tie1,ENSMUSG00000031465,ENSMUSG00000033191,omnipath,omnipath
ANGPT2,ITGA5,ENSG00000091879,ENSG00000161638,Angpt2,Itga5,ENSMUSG00000031465,ENSMUSG00000000555,omnipath,omnipath
ANGPT2,ITGB1,ENSG00000091879,ENSG00000150093,Angpt2,Itgb1,ENSMUSG00000031465,ENSMUSG00000025809,omnipath,omnipath
ANGPT4,TEK,ENSG00000101280,ENSG00000120156,Angpt4,Tek,ENSMUSG00000027460,ENSMUSG00000006386,omnipath,omnipath
ANGPT4,TIE1,ENSG00000101280,ENSG00000066056,Angpt4,Tie1,ENSMUSG00000027460,ENSMUSG00000033191,omnipath,omnipath
ANGPTL1,TEK,ENSG00000116194,ENSG00000120156,Angptl1,Tek,ENSMUSG00000033544,ENSMUSG00000006386,omnipath,omnipath
ANGPTL1,LILRB3,ENSG00000116194,ENSG00000277816,Angptl1,NA,ENSMUSG00000033544,NA,omnipath,omnipath
ANGPTL1,LILRB2,ENSG00000116194,ENSG00000131042,Angptl1,Lilra6,ENSMUSG00000033544,ENSMUSG00000030427,omnipath,omnipath
ANGPTL1,ITGA1,ENSG00000116194,ENSG00000213949,Angptl1,Itga1,ENSMUSG00000033544,ENSMUSG00000042284,omnipath,omnipath
ANGPTL1,ITGB1,ENSG00000116194,ENSG00000150093,Angptl1,Itgb1,ENSMUSG00000033544,ENSMUSG00000025809,omnipath,omnipath
ANGPTL2,LILRB2,ENSG00000136859,ENSG00000131042,Angptl2,Lilra6,ENSMUSG00000004105,ENSMUSG00000030427,omnipath,omnipath
ANGPTL2,TIE1,ENSG00000136859,ENSG00000066056,Angptl2,Tie1,ENSMUSG00000004105,ENSMUSG00000033191,omnipath,omnipath
ANGPTL2,TLR4,ENSG00000136859,ENSG00000136869,Angptl2,Tlr4,ENSMUSG00000004105,ENSMUSG00000039005,omnipath,omnipath
ANGPTL2,LILRB3,ENSG00000136859,ENSG00000277816,Angptl2,NA,ENSMUSG00000004105,NA,omnipath,omnipath
ANGPTL2,ITGA5,ENSG00000136859,ENSG00000161638,Angptl2,Itga5,ENSMUSG00000004105,ENSMUSG00000000555,omnipath,omnipath
ANGPTL2,ITGB1,ENSG00000136859,ENSG00000150093,Angptl2,Itgb1,ENSMUSG00000004105,ENSMUSG00000025809,omnipath,omnipath
ANGPTL3,ITGB3,ENSG00000132855,ENSG00000259207,Angptl3,Itgb3,ENSMUSG00000028553,ENSMUSG00000020689,omnipath,omnipath
ANGPTL3,ITGAV,ENSG00000132855,ENSG00000138448,Angptl3,Itgav,ENSMUSG00000028553,ENSMUSG00000027087,omnipath,omnipath
ANGPTL3,ITGA5,ENSG00000132855,ENSG00000161638,Angptl3,Itga5,ENSMUSG00000028553,ENSMUSG00000000555,omnipath,omnipath
ANGPTL3,LPL,ENSG00000132855,ENSG00000175445,Angptl3,Lpl,ENSMUSG00000028553,ENSMUSG00000015568,omnipath,omnipath
ANGPTL4,GPIHBP1,ENSG00000167772,ENSG00000277494,Angptl4,Gpihbp1,ENSMUSG00000002289,ENSMUSG00000022579,omnipath,omnipath
ANGPTL4,TIE1,ENSG00000167772,ENSG00000066056,Angptl4,Tie1,ENSMUSG00000002289,ENSMUSG00000033191,omnipath,omnipath
ANGPTL4,CDH5,ENSG00000167772,ENSG00000179776,Angptl4,Cdh5,ENSMUSG00000002289,ENSMUSG00000031871,omnipath,omnipath
ANGPTL4,CDH11,ENSG00000167772,ENSG00000140937,Angptl4,Cdh11,ENSMUSG00000002289,ENSMUSG00000031673,omnipath,omnipath
ANGPTL4,SDC1,ENSG00000167772,ENSG00000115884,Angptl4,Sdc1,ENSMUSG00000002289,ENSMUSG00000020592,omnipath,omnipath
ANGPTL4,SDC2,ENSG00000167772,ENSG00000169439,Angptl4,Sdc2,ENSMUSG00000002289,ENSMUSG00000022261,omnipath,omnipath
ANGPTL4,SDC3,ENSG00000167772,ENSG00000162512,Angptl4,Sdc3,ENSMUSG00000002289,ENSMUSG00000025743,omnipath,omnipath
ANGPTL4,SDC4,ENSG00000167772,ENSG00000124145,Angptl4,Sdc4,ENSMUSG00000002289,ENSMUSG00000017009,omnipath,omnipath
ANGPTL4,LPL,ENSG00000167772,ENSG00000175445,Angptl4,Lpl,ENSMUSG00000002289,ENSMUSG00000015568,omnipath,omnipath
ANGPTL4,ITGA5,ENSG00000167772,ENSG00000161638,Angptl4,Itga5,ENSMUSG00000002289,ENSMUSG00000000555,omnipath,omnipath
ANGPTL4,ITGB1,ENSG00000167772,ENSG00000150093,Angptl4,Itgb1,ENSMUSG00000002289,ENSMUSG00000025809,omnipath,omnipath
ANGPTL4,ITGAV,ENSG00000167772,ENSG00000138448,Angptl4,Itgav,ENSMUSG00000002289,ENSMUSG00000027087,omnipath,omnipath
