human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
ENSG00000181790,ADGRB1,ENSMUSG00000034730,Adgrb1
ENSG00000121753,ADGRB2,ENSMUSG00000028782,Adgrb2
ENSG00000131355,ADGRE3,NA,NA
ENSG00000123146,ADGRE5,ENSMUSG00000002885,Adgre5
ENSG00000153292,ADGRF1,ENSMUSG00000041293,Adgrf1
ENSG00000205336,ADGRG1,ENSMUSG00000031785,Adgrg1
ENSG00000181092,ADIPOQ,ENSMUSG00000022878,Adipoq
ENSG00000148926,ADM,ENSMUSG00000030790,Adm
ENSG00000128165,ADM2,ENSMUSG00000054136,Adm2
ENSG00000224420,ADM5,NA,NA
ENSG00000159322,ADPGK,ENSMUSG00000025236,Adpgk
ENSG00000106624,AEBP1,ENSMUSG00000020473,Aebp1
ENSG00000135537,AFG1L,ENSMUSG00000038302,Afg1l
ENSG00000079557,AFM,ENSMUSG00000029369,Afm
ENSG00000081051,AFP,ENSMUSG00000054932,Afp
ENSG00000038002,AGA,ENSMUSG00000031521,Aga
ENSG00000204305,AGER,ENSMUSG00000015452,Ager
ENSG00000164252,AGGF1,ENSMUSG00000021681,Aggf1
ENSG00000106541,AGR2,ENSMUSG00000020581,Agr2
ENSG00000173467,AGR3,ENSMUSG00000036231,Agr3
ENSG00000188157,AGRN,ENSMUSG00000041936,Agrn
ENSG00000159723,AGRP,ENSMUSG00000005705,Agrp
ENSG00000135744,AGT,ENSMUSG00000031980,Agt
ENSG00000145192,AHSG,ENSMUSG00000022868,Ahsg
ENSG00000164022,AIMP1,ENSMUSG00000028029,Aimp1
ENSG00000198074,AKR1B10,ENSMUSG00000061758,Akr1b10
ENSG00000163631,ALB,ENSMUSG00000029368,Alb
ENSG00000170017,ALCAM,ENSMUSG00000022636,Alcam
ENSG00000143149,ALDH9A1,ENSMUSG00000026687,Aldh9a1
ENSG00000196711,ALKAL1,ENSMUSG00000087247,Alkal1
ENSG00000189292,ALKAL2,ENSMUSG00000054204,Alkal2
ENSG00000163286,ALPG,ENSMUSG00000036500,Akp3
ENSG00000163295,ALPI,ENSMUSG00000036500,Akp3
ENSG00000162551,ALPL,ENSMUSG00000028766,Alpl
ENSG00000163283,ALPP,ENSMUSG00000036500,Akp3
ENSG00000178522,AMBN,ENSMUSG00000029288,Ambn
ENSG00000106927,AMBP,ENSMUSG00000028356,Ambp
ENSG00000125363,AMELX,ENSMUSG00000031354,Amelx
ENSG00000099721,AMELY,NA,NA
ENSG00000104899,AMH,ENSMUSG00000035262,Amh
ENSG00000166126,AMN,ENSMUSG00000021278,Amn
ENSG00000187689,AMTN,ENSMUSG00000029282,Amtn
ENSG00000237763,AMY1A,NA,NA
ENSG00000174876,AMY1B,NA,NA
ENSG00000187733,AMY1C,NA,NA
ENSG00000243480,AMY2A,NA,NA
ENSG00000240038,AMY2B,NA,NA
ENSG00000214274,ANG,ENSMUSG00000053961,Ang5
ENSG00000013523,ANGEL1,ENSMUSG00000021257,Angel1
ENSG00000154188,ANGPT1,ENSMUSG00000022309,Angpt1
ENSG00000091879,ANGPT2,ENSMUSG00000031465,Angpt2
ENSG00000101280,ANGPT4,ENSMUSG00000027460,Angpt4
ENSG00000116194,ANGPTL1,ENSMUSG00000033544,Angptl1
ENSG00000136859,ANGPTL2,ENSMUSG00000004105,Angptl2
ENSG00000132855,ANGPTL3,ENSMUSG00000028553,Angptl3
ENSG00000167772,ANGPTL4,ENSMUSG00000002289,Angptl4
ENSG00000187151,ANGPTL5,NA,NA
ENSG00000130812,ANGPTL6,ENSMUSG00000038742,Angptl6
ENSG00000171819,ANGPTL7,ENSMUSG00000028989,Angptl7
ENSG00000130173,ANGPTL8,ENSMUSG00000047822,Angptl8
ENSG00000011201,ANOS1,NA,NA
ENSG00000169604,ANTXR1,ENSMUSG00000033420,Antxr1
ENSG00000163297,ANTXR2,ENSMUSG00000029338,Antxr2
ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1
ENSG00000182718,ANXA2,ENSMUSG00000032231,Anxa2
ENSG00000136250,AOAH,ENSMUSG00000021322,Aoah
ENSG00000002726,AOC1,ENSMUSG00000029813,Aoc1l2
ENSG00000132703,APCS,ENSMUSG00000026542,Apcs
ENSG00000248329,APELA,NA,NA
ENSG00000171388,APLN,ENSMUSG00000037010,Apln
ENSG00000118137,APOA1,ENSMUSG00000032083,Apoa1
ENSG00000158874,APOA2,ENSMUSG00000005681,Apoa2
ENSG00000110244,APOA4,ENSMUSG00000032080,Apoa4
ENSG00000110243,APOA5,ENSMUSG00000032079,Apoa5
ENSG00000084674,APOB,ENSMUSG00000020609,Apob
ENSG00000130208,APOC1,ENSMUSG00000040564,Apoc1
ENSG00000234906,APOC2,ENSMUSG00000002992,Apoc2
ENSG00000110245,APOC3,ENSMUSG00000032081,Apoc3
ENSG00000267467,APOC4,ENSMUSG00000074336,Apoc4
ENSG00000189058,APOD,ENSMUSG00000022548,Apod
ENSG00000130203,APOE,ENSMUSG00000002985,Apoe
ENSG00000175336,APOF,ENSMUSG00000047631,Apof
ENSG00000091583,APOH,ENSMUSG00000000049,Apoh
ENSG00000100342,APOL1,ENSMUSG00000050982,Apol10a
ENSG00000128284,APOL3,ENSMUSG00000050982,Apol10a
ENSG00000100336,APOL4,ENSMUSG00000050982,Apol10a
ENSG00000204444,APOM,ENSMUSG00000024391,Apom
ENSG00000184831,APOO,ENSMUSG00000079508,Apoo
ENSG00000142192,APP,ENSMUSG00000022892,App
ENSG00000100299,ARSA,ENSMUSG00000022620,Arsa
ENSG00000113273,ARSB,ENSMUSG00000042082,Arsb
ENSG00000062096,ARSF,NA,NA
ENSG00000141337,ARSG,ENSMUSG00000020604,Arsg
ENSG00000183876,ARSI,ENSMUSG00000036412,Arsi
ENSG00000180801,ARSJ,ENSMUSG00000046561,Arsj
ENSG00000164291,ARSK,ENSMUSG00000021592,Arsk
ENSG00000156219,ART3,ENSMUSG00000034842,Art3
ENSG00000111339,ART4,ENSMUSG00000030217,Art4
ENSG00000167311,ART5,ENSMUSG00000070424,Art5
ENSG00000117407,ARTN,ENSMUSG00000028539,Artn
ENSG00000104763,ASAH1,ENSMUSG00000031591,Asah1
ENSG00000188611,ASAH2,ENSMUSG00000024887,Asah2
ENSG00000141505,ASGR1,ENSMUSG00000020884,Asgr1
ENSG00000101440,ASIP,ENSMUSG00000027596,a
ENSG00000106819,ASPN,ENSMUSG00000021388,Aspn
ENSG00000188886,ASTL,ENSMUSG00000050468,Astl
ENSG00000137343,ATAT1,ENSMUSG00000024426,Atat1
ENSG00000088812,ATRN,ENSMUSG00000027312,Atrn
ENSG00000101200,AVP,ENSMUSG00000037727,Avp
ENSG00000160862,AZGP1,ENSMUSG00000037053,Azgp1
ENSG00000172232,AZU1,NA,NA
ENSG00000166710,B2M,ENSMUSG00000060802,B2m
ENSG00000162885,B3GALNT2,ENSMUSG00000039242,B3galnt2
ENSG00000183778,B3GALT5,ENSMUSG00000074892,B3galt5
ENSG00000109956,B3GAT1,ENSMUSG00000045994,B3gat1
ENSG00000187676,B3GLCT,ENSMUSG00000051950,B3glct
ENSG00000179913,B3GNT3,ENSMUSG00000031803,B3gnt3
ENSG00000198488,B3GNT6,ENSMUSG00000074004,B3gnt6
ENSG00000177191,B3GNT8,ENSMUSG00000059479,B3gnt8
ENSG00000237172,B3GNT9,ENSMUSG00000069920,B3gnt9
ENSG00000135454,B4GALNT1,ENSMUSG00000006731,B4galnt1
ENSG00000086062,B4GALT1,ENSMUSG00000028413,B4galt1
ENSG00000121578,B4GALT4,ENSMUSG00000022793,B4galt4
ENSG00000174684,B4GAT1,ENSMUSG00000047379,B4gat1
ENSG00000182240,BACE2,ENSMUSG00000040605,Bace2
ENSG00000204463,BAG6,ENSMUSG00000024392,Bag6
ENSG00000132692,BCAN,ENSMUSG00000004892,Bcan
ENSG00000114200,BCHE,ENSMUSG00000027792,Bche
ENSG00000176697,BDNF,ENSMUSG00000048482,Bdnf
ENSG00000242252,BGLAP,ENSMUSG00000074489,Bglap3
ENSG00000182492,BGN,ENSMUSG00000031375,Bgn
ENSG00000168487,BMP1,ENSMUSG00000022098,Bmp1
ENSG00000163217,BMP10,ENSMUSG00000030046,Bmp10
ENSG00000130385,BMP15,ENSMUSG00000023279,Bmp15
ENSG00000125845,BMP2,ENSMUSG00000027358,Bmp2
ENSG00000152785,BMP3,ENSMUSG00000029335,Bmp3
ENSG00000125378,BMP4,ENSMUSG00000021835,Bmp4
ENSG00000112175,BMP5,ENSMUSG00000032179,Bmp5
ENSG00000153162,BMP6,ENSMUSG00000039004,Bmp6
ENSG00000101144,BMP7,ENSMUSG00000008999,Bmp7
ENSG00000183682,BMP8A,NA,NA
ENSG00000116985,BMP8B,NA,NA
ENSG00000164619,BMPER,ENSMUSG00000031963,Bmper
ENSG00000144857,BOC,ENSMUSG00000022687,Boc
ENSG00000101425,BPI,ENSMUSG00000052922,Bpi
ENSG00000198183,BPIFA1,ENSMUSG00000027483,Bpifa1
ENSG00000131050,BPIFA2,ENSMUSG00000042459,Bpifa2
ENSG00000131059,BPIFA3,ENSMUSG00000027482,Bpifa3
ENSG00000125999,BPIFB1,ENSMUSG00000027485,Bpifb1
ENSG00000078898,BPIFB2,ENSMUSG00000027481,Bpifb2
ENSG00000186190,BPIFB3,ENSMUSG00000068008,Bpifb3
ENSG00000186191,BPIFB4,ENSMUSG00000074665,Bpifb4
ENSG00000167104,BPIFB6,ENSMUSG00000068009,Bpifb6
ENSG00000184459,BPIFC,ENSMUSG00000050108,Bpifc
ENSG00000078725,BRINP1,ENSMUSG00000028351,Brinp1
ENSG00000198797,BRINP2,ENSMUSG00000004031,Brinp2
ENSG00000162670,BRINP3,ENSMUSG00000035131,Brinp3
ENSG00000188334,BSPH1,ENSMUSG00000074378,Bsph1
ENSG00000109743,BST1,ENSMUSG00000029082,Bst1
ENSG00000204347,BTBD17,ENSMUSG00000000202,Btbd17
ENSG00000174808,BTC,ENSMUSG00000082361,Btc
ENSG00000169814,BTD,ENSMUSG00000021900,Btd
ENSG00000186265,BTLA,ENSMUSG00000052013,Btla
ENSG00000124557,BTN1A1,ENSMUSG00000000706,Btn1a1
ENSG00000204290,BTNL2,ENSMUSG00000024340,Btnl2
ENSG00000204954,C12orf73,NA,NA
ENSG00000100802,C14orf93,ENSMUSG00000022179,4931414P19Rik
ENSG00000189227,C15orf61,ENSMUSG00000032403,2300009A05Rik
ENSG00000153446,C16orf89,ENSMUSG00000051669,AU021092
ENSG00000214226,C17orf67,ENSMUSG00000072553,Gm525
ENSG00000187997,C17orf99,ENSMUSG00000025573,6030468B19Rik
ENSG00000166845,C18orf54,ENSMUSG00000044906,4930503L19Rik
ENSG00000160392,C19orf47,ENSMUSG00000049643,2310022A10Rik
ENSG00000118292,C1orf54,ENSMUSG00000038543,BC028528
ENSG00000143443,C1orf56,ENSMUSG00000068860,Gm128
ENSG00000173372,C1QA,ENSMUSG00000036887,C1qa
ENSG00000173369,C1QB,ENSMUSG00000036905,C1qb
ENSG00000108561,C1QBP,ENSMUSG00000018446,C1qbp
ENSG00000159189,C1QC,ENSMUSG00000036896,C1qc
ENSG00000131094,C1QL1,ENSMUSG00000045532,C1ql1
ENSG00000144119,C1QL2,ENSMUSG00000036907,C1ql2
ENSG00000165985,C1QL3,ENSMUSG00000049630,C1ql3
ENSG00000186897,C1QL4,ENSMUSG00000001076,C1ql4
ENSG00000173918,C1QTNF1,ENSMUSG00000017446,C1qtnf1
ENSG00000184163,C1QTNF12,ENSMUSG00000023571,C1qtnf12
ENSG00000145861,C1QTNF2,ENSMUSG00000046491,C1qtnf2
ENSG00000082196,C1QTNF3,ENSMUSG00000058914,C1qtnf3
ENSG00000172247,C1QTNF4,ENSMUSG00000040794,C1qtnf4
ENSG00000223953,C1QTNF5,ENSMUSG00000079592,C1qtnf5
ENSG00000133466,C1QTNF6,ENSMUSG00000022440,C1qtnf6
ENSG00000163145,C1QTNF7,ENSMUSG00000061535,C1qtnf7
ENSG00000184471,C1QTNF8,NA,NA
ENSG00000240654,C1QTNF9,ENSMUSG00000071347,C1qtnf9
ENSG00000205863,C1QTNF9B,ENSMUSG00000071347,C1qtnf9
ENSG00000139178,C1RL,ENSMUSG00000038527,C1rl
ENSG00000182326,C1S,ENSMUSG00000079343,C1s2
ENSG00000166278,C2,ENSMUSG00000024371,C2
ENSG00000101220,C20orf27,ENSMUSG00000027327,Adissp
ENSG00000205929,C21orf62,ENSMUSG00000039851,Epcip
ENSG00000242259,C22orf39,ENSMUSG00000071632,2510002D24Rik
ENSG00000187944,C2orf66,ENSMUSG00000109809,Gm34066
ENSG00000178074,C2orf69,ENSMUSG00000038323,1700066M21Rik
ENSG00000125730,C3,ENSMUSG00000024164,C3
ENSG00000174928,C3orf33,ENSMUSG00000048581,E130311K13Rik
ENSG00000244731,C4A,ENSMUSG00000015451,C4a
ENSG00000224389,C4B,ENSMUSG00000015451,C4a
ENSG00000123838,C4BPA,ENSMUSG00000026405,C4bp
ENSG00000123843,C4BPB,NA,NA
ENSG00000243449,C4orf48,ENSMUSG00000070858,Nicol1
ENSG00000106804,C5,ENSMUSG00000035875,AI182371
ENSG00000178776,C5orf46,ENSMUSG00000071858,Gm94
ENSG00000039537,C6,ENSMUSG00000022181,C6
ENSG00000185127,C6orf120,ENSMUSG00000050088,1600012H06Rik
ENSG00000204542,C6orf15,ENSMUSG00000039269,2300002M23Rik
ENSG00000184530,C6orf58,ENSMUSG00000015519,2310057J18Rik
ENSG00000112936,C7,ENSMUSG00000079105,C7
ENSG00000157131,C8A,ENSMUSG00000035031,C8a
ENSG00000021852,C8B,ENSMUSG00000029656,C8b
ENSG00000176919,C8G,ENSMUSG00000015083,C8g
ENSG00000113600,C9,ENSMUSG00000022149,C9
ENSG00000147894,C9orf72,ENSMUSG00000028300,C9orf72
ENSG00000154975,CA10,ENSMUSG00000056158,Car10
ENSG00000063180,CA11,ENSMUSG00000003273,Car11
ENSG00000131686,CA6,ENSMUSG00000028972,Car6
ENSG00000153956,CACNA2D1,ENSMUSG00000040118,Cacna2d1
ENSG00000162706,CADM3,ENSMUSG00000005338,Cadm3
ENSG00000110680,CALCA,ENSMUSG00000030669,Calca
ENSG00000175868,CALCB,ENSMUSG00000030666,Calcb
ENSG00000179218,CALR,ENSMUSG00000003814,Calr
ENSG00000269058,CALR3,ENSMUSG00000019732,Calr3
ENSG00000128595,CALU,ENSMUSG00000029767,Calu
ENSG00000164047,CAMP,ENSMUSG00000038357,Camp
ENSG00000164326,CARTPT,ENSMUSG00000021647,Cartpt
ENSG00000196954,CASP4,NA,NA
ENSG00000165806,CASP7,ENSMUSG00000025076,Casp7
ENSG00000143318,CASQ1,ENSMUSG00000007122,Casq1
ENSG00000118729,CASQ2,ENSMUSG00000027861,Casq2
ENSG00000099338,CATSPERG,ENSMUSG00000049676,Catsperg1
ENSG00000134812,CBLIF,ENSMUSG00000024682,Cblif
ENSG00000102924,CBLN1,ENSMUSG00000031654,Cbln1
ENSG00000141668,CBLN2,ENSMUSG00000024647,Cbln2
ENSG00000139899,CBLN3,ENSMUSG00000040380,Cbln3
ENSG00000054803,CBLN4,ENSMUSG00000067578,Cbln4
ENSG00000183287,CCBE1,ENSMUSG00000046318,Ccbe1
ENSG00000164221,CCDC112,ENSMUSG00000071855,Ccdc112
ENSG00000169193,CCDC126,ENSMUSG00000050786,Ccdc126
ENSG00000100147,CCDC134,ENSMUSG00000068114,Ccdc134
ENSG00000151468,CCDC3,ENSMUSG00000026676,Ccdc3
ENSG00000091986,CCDC80,ENSMUSG00000022665,Ccdc80
ENSG00000262484,CCER2,ENSMUSG00000096257,Ccer2
ENSG00000187094,CCK,ENSMUSG00000032532,Cck
ENSG00000108702,CCL1,NA,NA
ENSG00000172156,CCL11,ENSMUSG00000020676,Ccl11
ENSG00000181374,CCL13,NA,NA
ENSG00000276409,CCL14,NA,NA
ENSG00000275718,CCL15,ENSMUSG00000019122,Ccl9
ENSG00000275152,CCL16,NA,NA
ENSG00000102970,CCL17,ENSMUSG00000031780,Ccl17
ENSG00000275385,CCL18,ENSMUSG00000000982,Ccl3
ENSG00000172724,CCL19,ENSMUSG00000071005,Ccl19
ENSG00000108691,CCL2,ENSMUSG00000035385,Ccl2
ENSG00000115009,CCL20,ENSMUSG00000026166,Ccl20
ENSG00000137077,CCL21,ENSMUSG00000073878,Ccl21f
ENSG00000102962,CCL22,ENSMUSG00000031779,Ccl22
ENSG00000274736,CCL23,ENSMUSG00000019122,Ccl9
ENSG00000106178,CCL24,ENSMUSG00000004814,Ccl24
ENSG00000131142,CCL25,NA,NA
ENSG00000006606,CCL26,NA,NA
ENSG00000213927,CCL27,ENSMUSG00000073877,Ccl27al
ENSG00000151882,CCL28,ENSMUSG00000074715,Ccl28
ENSG00000277632,CCL3,ENSMUSG00000000982,Ccl3
ENSG00000276085,CCL3L1,ENSMUSG00000000982,Ccl3
ENSG00000275302,CCL4,ENSMUSG00000018930,Ccl4
ENSG00000276070,CCL4L2,ENSMUSG00000018930,Ccl4
ENSG00000271503,CCL5,ENSMUSG00000035042,Ccl5
ENSG00000108688,CCL7,ENSMUSG00000035373,Ccl7
ENSG00000108700,CCL8,ENSMUSG00000035352,Ccl12
ENSG00000142871,CCN1,ENSMUSG00000028195,Ccn1
ENSG00000118523,CCN2,ENSMUSG00000019997,Ccn2
ENSG00000136999,CCN3,ENSMUSG00000037362,Ccn3
ENSG00000104415,CCN4,ENSMUSG00000005124,Ccn4
ENSG00000064205,CCN5,ENSMUSG00000027656,Ccn5
ENSG00000112761,CCN6,ENSMUSG00000062074,Ccn6
ENSG00000170458,CD14,ENSMUSG00000051439,Cd14
ENSG00000117281,CD160,ENSMUSG00000038304,Cd160
ENSG00000177575,CD163,ENSMUSG00000008845,Cd163
ENSG00000177675,CD163L1,NA,NA
ENSG00000135535,CD164,ENSMUSG00000019818,Cd164
ENSG00000204936,CD177,ENSMUSG00000052212,Cd177
ENSG00000158488,CD1E,NA,NA
ENSG00000163606,CD200R1,ENSMUSG00000022667,Cd200r1
ENSG00000090659,CD209,ENSMUSG00000040197,Cd209e
ENSG00000272398,CD24,ENSMUSG00000047139,Cd24a
ENSG00000120217,CD274,ENSMUSG00000016496,Cd274
ENSG00000167851,CD300A,ENSMUSG00000034652,Cd300a
ENSG00000284690,CD300H,NA,NA
ENSG00000101017,CD40,ENSMUSG00000017652,Cd40
ENSG00000102245,CD40LG,ENSMUSG00000031132,Cd40lg
ENSG00000026508,CD44,ENSMUSG00000005087,Cd44
ENSG00000117091,CD48,ENSMUSG00000015355,Cd48
ENSG00000196352,CD55,ENSMUSG00000026399,Cd55
ENSG00000085063,CD59,ENSMUSG00000032679,Cd59a
ENSG00000073754,CD5L,ENSMUSG00000015854,Cd5l
ENSG00000013725,CD6,ENSMUSG00000024670,Cd6
ENSG00000135404,CD63,ENSMUSG00000025351,Cd63
ENSG00000019582,CD74,ENSMUSG00000024610,Cd74
ENSG00000121594,CD80,ENSMUSG00000075122,Cd80
ENSG00000153563,CD8A,ENSMUSG00000053977,Cd8a
ENSG00000172116,CD8B,ENSMUSG00000053044,Cd8b1
ENSG00000010278,CD9,ENSMUSG00000030342,Cd9
ENSG00000102181,CD99L2,ENSMUSG00000035776,Cd99l2
ENSG00000163814,CDCP1,ENSMUSG00000035498,Cdcp1
ENSG00000157211,CDCP2,ENSMUSG00000047636,Cdcp2
ENSG00000140945,CDH13,ENSMUSG00000031841,Cdh13
ENSG00000145526,CDH18,ENSMUSG00000040420,Cdh18
ENSG00000148600,CDHR1,ENSMUSG00000021803,Cdhr1
ENSG00000187492,CDHR4,ENSMUSG00000032595,Cdhr4
ENSG00000185267,CDNF,ENSMUSG00000039496,Cdnf
ENSG00000204539,CDSN,ENSMUSG00000039518,Cdsn
ENSG00000079385,CEACAM1,NA,NA
ENSG00000213892,CEACAM16,ENSMUSG00000014686,Ceacam16
ENSG00000124469,CEACAM8,NA,NA
ENSG00000170835,CEL,ENSMUSG00000026818,Cel
ENSG00000139610,CELA1,ENSMUSG00000023031,Cela1
ENSG00000142615,CELA2A,ENSMUSG00000058579,Cela2a
ENSG00000215704,CELA2B,ENSMUSG00000058579,Cela2a
ENSG00000142789,CELA3A,ENSMUSG00000023433,Cela3b
ENSG00000219073,CELA3B,ENSMUSG00000023433,Cela3b
ENSG00000075275,CELSR1,ENSMUSG00000016028,Celsr1
ENSG00000103888,CEMIP,ENSMUSG00000052353,Cemip
ENSG00000147869,CER1,ENSMUSG00000038192,Cer1
ENSG00000167123,CERCAM,ENSMUSG00000039787,Cercam
ENSG00000198848,CES1,ENSMUSG00000056973,Ces1d
ENSG00000172831,CES2,ENSMUSG00000055730,Ces2a
ENSG00000172828,CES3,ENSMUSG00000062181,Ces3b
ENSG00000172824,CES4A,ENSMUSG00000060560,Ces4a
ENSG00000159398,CES5A,ENSMUSG00000058019,Ces5a
ENSG00000087237,CETP,NA,NA
ENSG00000181378,CFAP65,ENSMUSG00000047021,Cfap65
ENSG00000243649,CFB,ENSMUSG00000090231,Cfb
ENSG00000136698,CFC1,ENSMUSG00000026124,Cfc1
ENSG00000152093,CFC1B,ENSMUSG00000026124,Cfc1
ENSG00000197766,CFD,ENSMUSG00000061780,Cfd
ENSG00000000971,CFH,NA,NA
ENSG00000244414,CFHR1,ENSMUSG00000057037,Cfhr1
ENSG00000080910,CFHR2,ENSMUSG00000057037,Cfhr1
ENSG00000116785,CFHR3,NA,NA
ENSG00000134365,CFHR4,NA,NA
ENSG00000134389,CFHR5,NA,NA
ENSG00000205403,CFI,ENSMUSG00000058952,Cfi
ENSG00000126759,CFP,ENSMUSG00000001128,Cfp
ENSG00000135346,CGA,ENSMUSG00000028298,Cga
ENSG00000267631,CGB1,NA,NA
ENSG00000104818,CGB2,NA,NA
ENSG00000104827,CGB3,NA,NA
ENSG00000189052,CGB5,NA,NA
ENSG00000196337,CGB7,NA,NA
ENSG00000213030,CGB8,NA,NA
ENSG00000138028,CGREF1,ENSMUSG00000029161,Cgref1
ENSG00000136457,CHAD,ENSMUSG00000039084,Chad
ENSG00000100399,CHADL,ENSMUSG00000063765,Chadl
ENSG00000100604,CHGA,ENSMUSG00000021194,Chga
ENSG00000089199,CHGB,ENSMUSG00000027350,Chgb
ENSG00000133048,CHI3L1,ENSMUSG00000064246,Chi3l1
ENSG00000064886,CHI3L2,NA,NA
ENSG00000134216,CHIA,ENSMUSG00000027902,Chil6
ENSG00000177830,CHID1,ENSMUSG00000025512,Chid1
ENSG00000133063,CHIT1,ENSMUSG00000026450,Chit1
ENSG00000134121,CHL1,ENSMUSG00000030077,Chl1
ENSG00000033100,CHPF2,ENSMUSG00000038181,Chpf2
ENSG00000090539,CHRD,ENSMUSG00000006958,Chrd
ENSG00000101938,CHRDL1,ENSMUSG00000031283,Chrdl1
ENSG00000054938,CHRDL2,ENSMUSG00000030732,Chrdl2
ENSG00000175264,CHST1,ENSMUSG00000027221,Chst1
ENSG00000180767,CHST13,ENSMUSG00000056643,Chst13
ENSG00000183196,CHST6,NA,NA
ENSG00000124302,CHST8,ENSMUSG00000060402,Chst8
ENSG00000154080,CHST9,ENSMUSG00000047161,Chst9
ENSG00000131873,CHSY1,ENSMUSG00000032640,Chsy1
ENSG00000166797,CIAO2A,ENSMUSG00000032381,Ciao2a
ENSG00000138615,CILP,ENSMUSG00000042254,Cilp
ENSG00000160161,CILP2,ENSMUSG00000044006,Cilp2
ENSG00000217555,CKLF,ENSMUSG00000054400,Cklf
ENSG00000223572,CKMT1A,ENSMUSG00000000308,Ckmt1
ENSG00000237289,CKMT1B,ENSMUSG00000000308,Ckmt1
ENSG00000016490,CLCA1,ENSMUSG00000028255,Clca1
